"Model","Table","Direct delegate reference files","Files","Interpretation"
"Currency","currencies","6","src/app/api/v1/health/route.ts;src/lib/payroll/beftn.ts;tests/unit/tenantContext.test.ts;tests/unit/tenantEndpoints.test.ts;scripts/seed-risk-demo-data.ts;scripts/seed.ts","Direct references found"
"Company","companies","34","src/app/api/v1/auth/login/route.ts;src/app/api/v1/auth/mfa/verify/route.ts;src/app/api/v1/auth/refresh/route.ts;src/app/api/v1/me/route.ts;src/app/api/v1/onboarding/route.ts;src/app/api/v1/onboarding/[id]/activate/route.ts;src/app/print/invoice/[id]/route.ts;src/app/print/receipt/[id]/route.ts;src/domain/commands/m6/PostPayrollRun.ts;src/lib/accounting/revaluation.ts;src/lib/auth/enrollment.ts;src/lib/auth/middleware.ts;src/lib/reconciliation/scheduler.ts;src/lib/risk/alerting.ts;src/lib/tax/statutoryDocuments.ts;src/workers/outboxWorker.ts;tests/integration/nplus1MariaDb.test.ts;tests/unit/auth.test.ts;tests/unit/barcode.test.ts;tests/unit/comboGraph.test.ts;tests/unit/companyActivate.test.ts;tests/unit/featureFlags.test.ts;tests/unit/idempotency.test.ts;tests/unit/journalEntry.test.ts;tests/unit/m6CrmHr.test.ts;tests/unit/mfaEnrollment.test.ts;tests/unit/numbering.test.ts;tests/unit/postSale.test.ts;tests/unit/stockMovement.test.ts;tests/unit/tenantContext.test.ts;tests/unit/tenantEndpoints.test.ts;scripts/seed-coa.ts;scripts/seed-m1.ts;scripts/seed.ts","Direct references found"
"Branch","branches","19","src/app/(erp)/dashboard/cashier/page.tsx;src/app/(erp)/dashboard/hr/page.tsx;src/app/(erp)/dashboard/pos/page.tsx;src/app/api/v1/branches/route.ts;src/app/api/v1/customers/[id]/route.ts;src/app/api/v1/me/route.ts;src/app/api/v1/onboarding/route.ts;src/app/api/v1/print/escpos/[saleId]/route.ts;src/app/api/v1/purchases/route.ts;src/app/print/invoice/[id]/route.ts;src/app/print/receipt/[id]/route.ts;src/lib/tax/statutoryDocuments.ts;src/reports/index.ts;tests/integration/nplus1MariaDb.test.ts;tests/unit/m6CrmHr.test.ts;tests/unit/numbering.test.ts;tests/unit/postSale.test.ts;tests/unit/stockMovement.test.ts;scripts/seed-risk-demo-data.ts","Direct references found"
"Warehouse","warehouses","17","src/app/(erp)/dashboard/inventory/page.tsx;src/app/(erp)/dashboard/pos/page.tsx;src/app/(erp)/dashboard/purchases/page.tsx;src/app/api/v1/export-jobs/route.ts;src/app/api/v1/export-jobs/[id]/download/route.ts;src/app/api/v1/inventory/opening-stock/route.ts;src/app/api/v1/onboarding/route.ts;src/app/api/v1/purchases/route.ts;src/app/api/v1/warehouses/route.ts;src/domain/commands/m2/Transfer.ts;src/domain/commands/m3/PostSale.ts;src/lib/inventory/reservationExpiry.ts;src/reports/index.ts;tests/integration/nplus1MariaDb.test.ts;tests/unit/postSale.test.ts;tests/unit/stockMovement.test.ts;scripts/seed-risk-demo-data.ts","Direct references found"
"ExchangeRate","exchange_rates","15","src/app/api/v1/account-transfers/route.ts;src/app/api/v1/exchange-rates/route.ts;src/app/api/v1/exchange-rates/[id]/route.ts;src/app/api/v1/expenses/[id]/route.ts;src/app/api/v1/journal-entries/[id]/route.ts;src/app/api/v1/payments/route.ts;src/app/api/v1/payments/[id]/route.ts;src/app/api/v1/purchases/route.ts;src/app/api/v1/purchases/[id]/route.ts;src/app/api/v1/quotations/[id]/convert/route.ts;src/app/api/v1/quotations/[id]/route.ts;src/app/api/v1/sales/[id]/route.ts;src/domain/commands/m2/PostPurchaseReturn.ts;src/domain/commands/m2/ReceivePurchase.ts;src/domain/commands/m4/PostJournalEntry.ts","Direct references found"
"CompanyDomain","company_domains","0","","NEEDS VERIFICATION: nested relations/dynamic delegates/raw SQL not excluded"
"User","users","25","src/app/(erp)/dashboard/security/page.tsx;src/app/api/v1/auth/login/route.ts;src/app/api/v1/auth/mfa/verify/route.ts;src/app/api/v1/me/route.ts;src/app/api/v1/onboarding/route.ts;src/app/api/v1/onboarding/[id]/activate/route.ts;src/app/api/v1/webauthn/registration/begin/route.ts;src/lib/auth/enrollment.ts;src/lib/auth/middleware.ts;src/lib/db/transaction.ts;tests/integration/nplus1MariaDb.test.ts;tests/unit/auth.test.ts;tests/unit/companyActivate.test.ts;tests/unit/featureFlags.test.ts;tests/unit/idempotency.test.ts;tests/unit/journalEntry.test.ts;tests/unit/m6CrmHr.test.ts;tests/unit/mfaEnrollment.test.ts;tests/unit/postSale.test.ts;tests/unit/stockMovement.test.ts;tests/unit/tenantContext.test.ts;tests/unit/tenantEndpoints.test.ts;scripts/seed-m1.ts;scripts/seed-risk-demo-data.ts;scripts/seed.ts","Direct references found"
"Role","roles","9","src/app/api/v1/auth/login/route.ts;src/app/api/v1/me/route.ts;src/app/api/v1/onboarding/route.ts;src/app/api/v1/onboarding/[id]/activate/route.ts;src/lib/auth/middleware.ts;tests/unit/companyActivate.test.ts;tests/unit/tenantContext.test.ts;tests/unit/tenantEndpoints.test.ts;scripts/seed.ts","Direct references found"
"Permission","permissions","7","src/app/api/v1/me/route.ts;src/app/api/v1/onboarding/route.ts;src/lib/auth/middleware.ts;src/lib/permissions/catalogue.ts;tests/unit/tenantContext.test.ts;tests/unit/tenantEndpoints.test.ts;scripts/seed.ts","Direct references found"
"RolePermission","role_permissions","4","src/app/api/v1/onboarding/route.ts;tests/unit/tenantContext.test.ts;tests/unit/tenantEndpoints.test.ts;scripts/seed.ts","Direct references found"
"UserRole","user_roles","6","src/app/api/v1/auth/login/route.ts;src/app/api/v1/onboarding/route.ts;tests/unit/companyActivate.test.ts;tests/unit/tenantContext.test.ts;tests/unit/tenantEndpoints.test.ts;scripts/seed.ts","Direct references found"
"UserBranchAccess","user_branch_access","1","src/app/api/v1/onboarding/route.ts","Direct references found"
"Device","devices","2","src/app/api/v1/offline/bootstrap/route.ts;src/app/api/v1/offline/sync/route.ts","Direct references found"
"RefreshToken","refresh_tokens","5","src/app/api/v1/auth/logout/route.ts;src/app/api/v1/auth/refresh/route.ts;src/lib/auth/refreshToken.ts;tests/unit/auth.test.ts;tests/unit/mfaEnrollment.test.ts","Direct references found"
