"Model","Table","Relation","Target model","FK columns","Referenced columns","Schema onDelete","Schema onUpdate","Migration onDelete","Migration onUpdate","Migration file","Composite tenant FK"
"Company","companies","baseCurrency","Currency","base_currency_code","code","implicit","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","N/A"
"Branch","branches","company","Company","company_id","id","Restrict","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","NOT FOUND"
"Warehouse","warehouses","company","Company","company_id","id","Restrict","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","NOT FOUND"
"Warehouse","warehouses","branch","Branch","branch_id","id","implicit","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","present"
"ExchangeRate","exchange_rates","company","Company","company_id","id","Restrict","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","NOT FOUND"
"ExchangeRate","exchange_rates","currency","Currency","currency_code","code","implicit","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","N/A"
"ExchangeRate","exchange_rates","approver","User","approved_by","id","implicit","implicit","SET NULL","CASCADE","20260831180000_initial/migration.sql","present"
"CompanyDomain","company_domains","company","Company","company_id","id","Restrict","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","NOT FOUND"
"User","users","company","Company","company_id","id","Restrict","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","NOT FOUND"
"User","users","primaryBranch","Branch","primary_branch_id","id","implicit","implicit","SET NULL","CASCADE","20260831180000_initial/migration.sql","present"
"Role","roles","company","Company","company_id","id","Restrict","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","NOT FOUND"
"RolePermission","role_permissions","role","Role","role_id","id","Cascade","implicit","CASCADE","CASCADE","20260831180000_initial/migration.sql","N/A"
"RolePermission","role_permissions","permission","Permission","permission_id","id","Cascade","implicit","CASCADE","CASCADE","20260831180000_initial/migration.sql","N/A"
"UserRole","user_roles","user","User","user_id","id","Cascade","implicit","CASCADE","CASCADE","20260831180000_initial/migration.sql","N/A"
"UserRole","user_roles","role","Role","role_id","id","Cascade","implicit","CASCADE","CASCADE","20260831180000_initial/migration.sql","N/A"
"UserBranchAccess","user_branch_access","user","User","user_id","id","Cascade","implicit","CASCADE","CASCADE","20260831180000_initial/migration.sql","N/A"
"UserBranchAccess","user_branch_access","branch","Branch","branch_id","id","Cascade","implicit","CASCADE","CASCADE","20260831180000_initial/migration.sql","N/A"
"Device","devices","company","Company","company_id","id","Restrict","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","NOT FOUND"
"Device","devices","branch","Branch","branch_id","id","implicit","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","present"
"Device","devices","registeredByUser","User","registered_by","id","implicit","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","present"
"RefreshToken","refresh_tokens","company","Company","company_id","id","Restrict","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","NOT FOUND"
"RefreshToken","refresh_tokens","user","User","user_id","id","Cascade","implicit","CASCADE","CASCADE","20260831180000_initial/migration.sql","present"
"RefreshToken","refresh_tokens","device","Device","device_id","id","implicit","implicit","SET NULL","CASCADE","20260831180000_initial/migration.sql","present"
"RefreshToken","refresh_tokens","rotatedFrom","RefreshToken","rotated_from_id","id","implicit","implicit","SET NULL","CASCADE","20260831180000_initial/migration.sql","present"
"SecurityEvent","security_events","company","Company","company_id","id","Restrict","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","NOT FOUND"
"SecurityEvent","security_events","user","User","user_id","id","implicit","implicit","SET NULL","CASCADE","20260831180000_initial/migration.sql","present"
"SecurityEvent","security_events","device","Device","device_id","id","implicit","implicit","SET NULL","CASCADE","20260831180000_initial/migration.sql","present"
"WebAuthnCredential","webauthn_credentials","company","Company","company_id","id","Restrict","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","NOT FOUND"
"WebAuthnCredential","webauthn_credentials","user","User","user_id","id","Cascade","implicit","CASCADE","CASCADE","20260831180000_initial/migration.sql","present"
"WebAuthnChallenge","webauthn_challenges","company","Company","company_id","id","Restrict","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","NOT FOUND"
"WebAuthnChallenge","webauthn_challenges","user","User","user_id","id","implicit","implicit","SET NULL","CASCADE","20260831180000_initial/migration.sql","present"
"DocumentSequence","document_sequences","company","Company","company_id","id","Restrict","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","NOT FOUND"
"DocumentSequence","document_sequences","branch","Branch","branch_id","id","Restrict","Restrict","RESTRICT","RESTRICT","20260831180000_initial/migration.sql","present"
"DocumentNumberLease","document_number_leases","company","Company","company_id","id","Restrict","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","NOT FOUND"
"DocumentNumberLease","document_number_leases","branch","Branch","branch_id","id","implicit","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","present"
"DocumentNumberLease","document_number_leases","device","Device","device_id","id","implicit","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","present"
"IdempotencyRequest","idempotency_requests","company","Company","company_id","id","Restrict","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","NOT FOUND"
"BusinessEvent","business_events","company","Company","company_id","id","Restrict","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","NOT FOUND"
"DocumentExchangeRate","document_exchange_rates","currency","Currency","currency_code","code","implicit","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","N/A"
"AuditLog","audit_logs","company","Company","company_id","id","Restrict","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","NOT FOUND"
"AuditLog","audit_logs","user","User","user_id","id","implicit","implicit","SET NULL","CASCADE","20260831180000_initial/migration.sql","present"
"AuditLog","audit_logs","device","Device","device_id","id","implicit","implicit","SET NULL","CASCADE","20260831180000_initial/migration.sql","present"
"ApprovalRequest","approval_requests","company","Company","company_id","id","Restrict","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","NOT FOUND"
"ApprovalRequest","approval_requests","branch","Branch","branch_id","id","implicit","implicit","SET NULL","CASCADE","20260831180000_initial/migration.sql","present"
"ApprovalRequest","approval_requests","requestedByUser","User","requested_by","id","implicit","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","present"
"ApprovalRequest","approval_requests","approvedByUser","User","approved_by","id","implicit","implicit","SET NULL","CASCADE","20260831180000_initial/migration.sql","present"
"ApprovalRequest","approval_requests","waivedByUser","User","waived_by","id","implicit","implicit","SET NULL","CASCADE","20260831180000_initial/migration.sql","present"
"StatutoryDocument","statutory_documents","company","Company","company_id","id","Restrict","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","NOT FOUND"
"StatutoryDocument","statutory_documents","branch","Branch","branch_id","id","implicit","implicit","RESTRICT","CASCADE","20260831180000_initial/migration.sql","present"
"StatutoryDocument","statutory_documents","issuedByUser","User","issued_by","id","implicit","implicit","SET NULL","CASCADE","20260831180000_initial/migration.sql","present"
"StatutoryDocument","statutory_documents","replacementOf","StatutoryDocument","replacement_of_id","id","implicit","implicit","SET NULL","CASCADE","20260831180000_initial/migration.sql","present"
